2024-10-08 09:05:59 WARNING models.py - email-validator not installed, email fields will be treated as str.
To install, run: pip install email-validator
2024-10-08 09:07:23 WARNING models.py - email-validator not installed, email fields will be treated as str.
To install, run: pip install email-validator
2024-10-08 09:07:55 WARNING models.py - email-validator not installed, email fields will be treated as str.
To install, run: pip install email-validator
2024-10-08 09:08:17 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=Back%20to%20the%20future
2024-10-08 09:08:36 INFO tmdb.py - GET https://api.themoviedb.org/3/movie/196?api_key=1b91b4ea96286f180cac78a0d0b2d40f
2024-10-08 09:08:36 INFO tmdb.py - {'adult': False, 'backdrop_path': '/vKp3NvqBkcjHkCHSGi6EbcP7g4J.jpg', 'belongs_to_collection': {'id': 264, 'name': 'Back to the Future Collection', 'poster_path': '/5Xsu2o5IsZRuuxCEVZ9nVve21FP.jpg', 'backdrop_path': '/AqQotqj7XOI6GjB28nhMMa8YzOT.jpg'}, 'budget': 40000000, 'genres': [{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}], 'homepage': 'http://www.backtothefuture.com/movies/backtothefuture3', 'id': 196, 'imdb_id': 'tt0099088', 'origin_country': ['US'], 'original_language': 'en', 'original_title': 'Back to the Future Part III', 'overview': 'The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking for Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.', 'popularity': 93.145, 'poster_path': '/crzoVQnMzIrRfHtQw0tLBirNfVg.jpg', 'production_companies': [{'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 56, 'logo_path': '/cEaxANEisCqeEoRvODv2dO1I0iI.png', 'name': 'Amblin Entertainment', 'origin_country': 'US'}], 'production_countries': [{'iso_3166_1': 'US', 'name': 'United States of America'}], 'release_date': '1990-05-25', 'revenue': 244527583, 'runtime': 119, 'spoken_languages': [{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}], 'status': 'Released', 'tagline': "They've saved the best trip for last... But this time they may have gone too far.", 'title': 'Back to the Future Part III', 'video': False, 'vote_average': 7.478, 'vote_count': 10377}
2024-10-08 09:44:24 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=Back%20to%20the%20Future%20Part%20II
2024-10-08 09:44:24 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=How%20to%20Fall%20in%20Love
2024-10-08 09:44:24 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=Should've%20Been%20Romeo
2024-10-08 09:44:24 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=Little%20Big%20Top
2024-10-08 09:44:25 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=The%20Adventures%20of%20Elmo%20in%20Grouchland
2024-10-08 09:44:25 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=1982
2024-10-08 09:44:25 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=Flying%20By
2024-10-08 09:44:25 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=The%20Love%20Guru
2024-10-08 09:44:25 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=Garden%20State
2024-10-08 09:44:25 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=Alfie
2024-10-08 09:44:37 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=Back%20to%20the%20Future%20Part%20II
2024-10-08 09:44:37 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=Should've%20Been%20Romeo
2024-10-08 09:44:37 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=The%20Adventures%20of%20Elmo%20in%20Grouchland
2024-10-08 09:44:37 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=How%20to%20Fall%20in%20Love
2024-10-08 09:44:37 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=1982
2024-10-08 09:44:37 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=Garden%20State
2024-10-08 09:44:37 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=Little%20Big%20Top
2024-10-08 09:44:38 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=The%20Love%20Guru
2024-10-08 09:44:38 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=Alfie
2024-10-08 09:44:38 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=Flying%20By
2024-10-08 09:50:18 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=Should've%20Been%20Romeo
2024-10-08 09:50:18 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=How%20to%20Fall%20in%20Love
2024-10-08 09:50:18 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=Back%20to%20the%20Future%20Part%20II
2024-10-08 09:50:19 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=Little%20Big%20Top
2024-10-08 09:50:19 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=Garden%20State
2024-10-08 09:50:19 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=Flying%20By
2024-10-08 09:50:19 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=The%20Adventures%20of%20Elmo%20in%20Grouchland
2024-10-08 09:50:19 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=Alfie
2024-10-08 09:50:19 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=The%20Love%20Guru
2024-10-08 09:50:19 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=1982
2024-10-08 09:50:20 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=Back%20to%20the%20Future%20Part%20II
2024-10-08 09:50:20 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=How%20to%20Fall%20in%20Love
2024-10-08 09:50:21 INFO tmdb.py - GET https://api.themoviedb.org/3/search/movie?api_key=1b91b4ea96286f180cac78a0d0b2d40f&include_adult=false&language=es-ES&page=1&query=The%20Adventures%20of%20Elmo%20in%20Grouchland
